Date,Rank,Alpha,ISIN,Instrument,Primary,ICB Sub-Sector,Status,Free Float Pass,Liquidity Pass,Gross Market Capitalisation,ALSI Universe,Cumulative Market Capitalisation,ALSI Current,ALSI Change,ALSI New,Index Current,Index Change,Index New,TOPI Current,TOPI Change,TOPI New,DTOP Current,DTOP Change,DTOP New,RESI Current,RESI Change,RESI New,FINI Current,FINI Change,FINI New,INDI Current,INDI Change,INDI New,PCAP Current,PCAP Change,PCAP New,SAPY Current,SAPY Change,SAPY New,ALTI Universe,ALTI Current,ALTI Change,ALTI New,Board,Notes
2018-03-19 00:00:00.000,NULL,REA,ZAE000240552,Rebosis Property Fund Ltd A,REB,8674,,TRUE,TRUE,"1543690692,8",TRUE,"0,972433630679372","    ",NULL,NULL,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,"    ",,"    ","    ",,"    ",FALSE,NULL,NULL,NULL,ALSI,Fails Secondary Line Rule
2018-03-19 00:00:00.000,117,REB,ZAE000201687,Rebosis Property Fund Ltd,NULL,8674,,TRUE,TRUE,"6348160120,64",TRUE,"0,972327608117454",ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,PCAP,,PCAP,SAPY,,SAPY,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,20,REM,ZAE000026480,Remgro Ltd,NULL,2727,,TRUE,TRUE,"121397089235,73",TRUE,"0,735280870954218",ALSI,NULL,ALSI,LRGC,NULL,LRGC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,NULL,NULL,NULL,INDI,,INDI,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,5,REN,ZAE000202610,Renergen Limited,NULL,0587,,TRUE,TRUE,728550144,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,ALTI,NULL,ALTI,ALTI,NULL
2018-03-19 00:00:00.000,61,RES,ZAE000209557,Resilient REIT Limited,NULL,8672,,TRUE,TRUE,32296504000,TRUE,"0,908453832216913",ALSI,NULL,ALSI,LRGC,LRGC DEL; MIDC ADD,MIDC,TOPI,TOPI DEL,"    ",DTOP,DTOP DEL,"    ",NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,PCAP,,PCAP,SAPY,,SAPY,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,141,RFG,ZAE000191979,Rhodes Food Grp Hldg Ltd,NULL,3577,,TRUE,TRUE,"5011799855,5",TRUE,"0,983633367737407",ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,NULL,RHB,ZAE000244737,RH Bophelo Limited,,8995,SPAC,TRUE,FALSE,515500000,FALSE,0,"    ",NULL,NULL,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,SPAC; ICB Sector 8990
2018-03-19 00:00:00.000,244,RLF,ZAE000159836,Rolfes Technology Hldgs,NULL,1357,,TRUE,TRUE,437245560,TRUE,"0,999383822579698",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,84,RLO,ZAE000057428,Reunert Ltd,NULL,2733,,TRUE,TRUE,14419839262,TRUE,"0,946625556234501",ALSI,NULL,ALSI,MIDC,NULL,MIDC,"    ",,"    ","    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,21,RMH,ZAE000024501,RMB Holdings Ltd,NULL,8355,,TRUE,TRUE,"119246570824,46",TRUE,"0,743470871060944",ALSI,NULL,ALSI,LRGC,NULL,LRGC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,FINI,,FINI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,34,RMI,ZAE000210688,Rand Merchant Inv Hldgs Ltd,NULL,8775,,TRUE,TRUE,"67349439716,58",TRUE,"0,826224901199108",ALSI,NULL,ALSI,LRGC,NULL,LRGC,"    ",,"    ","    ",,"    ",NULL,NULL,NULL,"    ",RES,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,268,RNG,ZAE000008819,Randgold & Expl Co Ltd,NULL,1777,,TRUE,FALSE,119336104,TRUE,"0,999950803570885",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,44,RNI,LU0383812293,Reinet Investments S.C.A,,8985,,TRUE,TRUE,"46683011389,5",TRUE,"0,862912936642325",ALSI,NULL,ALSI,LRGC,NULL,LRGC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,FINI,,FINI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,Previously REI
2018-03-19 00:00:00.000,104,RPL,IM00B8BV8G91,RDI REIT P.L.C,NULL,8674,Foreign,TRUE,TRUE,"10658262078,55",TRUE,"0,964146651686341",ALSI,NULL,ALSI,MIDC,NULL,MIDC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,PCAP,,PCAP,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,235,RSG,AU000000RES1,Resource Generation Ltd,NULL,1771,Foreign,TRUE,FALSE,"575566534,62",TRUE,"0,999031667151255",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
